Packet, Latency (ms)
1, 27.5
2, 41.5
3, 9.5
4, 16.0
5, 12.0
6, 37.5
7, 9.0
8, 40.5
9, 44.5
10, 23.0
11, 12.5
12, 27.5
13, 40.5
14, 38.5
15, 22.5
16, 33.5
17, 10.5
18, 15.0
19, 13.5
20, 8.0
21, 12.5
22, 44.0
23, 13.0
24, 11.5
25, 8.0
26, 16.5
27, 12.0
28, 17.0
29, 17.5
30, 10.5
31, 9.5
32, 8.0
33, 16.5
34, 9.5
35, 35.0
36, 14.5
37, 11.0
38, 30.5
39, 13.0
40, 39.0
41, 24.0
42, 12.5
43, 15.5
44, 13.0
45, 7.0
46, 11.0
47, 27.0
48, 13.0
49, 12.0
50, 8.0
51, 43.0
52, 9.5
53, 12.5
54, 9.0
55, 15.0
56, 9.0
57, 9.0
58, 65.0
59, 31.0
60, 7.0
61, 15.0
62, 20.0
63, 41.5
64, 11.0
65, 30.5
66, 16.0
67, 38.5
68, 40.0
69, 13.5
70, 15.5
71, 8.5
72, 10.5
73, 12.0
74, 38.0
75, 43.5
76, 16.5
77, 8.0
78, 7.5
79, 20.5
80, 33.0
81, 31.0
82, 9.5
83, 7.5
84, 11.0
85, 17.0
86, 15.5
87, 12.5
88, 7.5
89, 8.5
90, 11.0
91, 9.0
92, 9.5
93, 17.0
94, 10.0
95, 29.5
96, 16.0
97, 10.5
98, 31.0
99, 9.5
100, 10.5
101, 12.5
102, 27.5
103, 10.5
104, 25.5
105, 15.5
106, 14.5
107, 12.0
108, 15.0
109, 12.5
110, 12.0
111, 11.0
112, 28.5
113, 14.5
114, 16.0
115, 16.0
116, 7.5
117, 10.0
118, 26.5
119, 7.5
120, 35.5
121, 8.5
122, 9.0
123, 12.0
124, 11.0
125, 14.0
126, 16.5
127, 15.0
128, 7.5
129, 16.0
130, 18.0
131, 10.5
132, 8.5
133, 9.5
134, 12.0
135, 43.0
136, 8.5
137, 10.5
138, 7.5
139, 15.0
140, 35.5
141, 16.5
142, 12.0
143, 10.0
144, 12.5
145, 13.0
146, 15.0
147, 11.5
148, 16.0
149, 8.0
150, 9.0
151, 20.0
152, 14.5
153, 14.0
154, 12.0
155, 28.0
156, 8.0
157, 15.0
158, 10.0
159, 8.5
160, 9.5
161, 9.5
162, 16.0
163, 8.0
164, 9.0
165, 9.5
166, 7.5
167, 24.0
168, 11.0
169, 10.0
170, 11.0
171, 11.0
172, 16.0
173, 16.0
174, 14.5
175, 15.0
176, 11.5
177, 16.5
178, 13.0
179, 11.5
180, 11.0
181, 12.5
182, 16.0
183, 15.5
184, 35.5
185, 46.0
186, 16.5
187, 8.0
188, 12.0
189, 14.5
190, 7.5
191, 22.0
192, 29.5
193, 14.5
194, 22.5
195, 10.5
196, 10.5
197, 9.5
198, 14.5
199, 12.5
200, 8.0
201, 13.5
202, 19.5
203, 13.0
204, 14.5
205, 13.5
206, 11.0
207, 16.0
208, 14.5
209, 10.0
210, 16.5
211, 16.0
212, 7.5
213, 10.5
214, 19.5
215, 15.0
216, 15.5
217, 34.5
218, 14.0
219, 11.5
220, 11.5
221, 27.0
222, 15.5
223, 14.5
224, 7.5
225, 40.5
226, 13.0
227, 15.5
228, 41.0
229, 9.0
230, 7.0
231, 37.5
232, 16.0
233, 9.5
234, 14.0
235, 10.0
236, 14.0
237, 8.0
238, 12.5
239, 9.0
240, 14.0
241, 10.5
242, 9.5
243, 34.0
244, 21.5
245, 13.0
246, 12.0
247, 10.0
248, 9.0
249, 45.5
250, 12.0
251, 10.5
252, 14.0
253, 21.0
254, 16.5
255, 8.5
256, 12.5
257, 13.5
258, 10.0
259, 9.5
260, 44.0
261, 8.0
262, 15.5
263, 11.0
264, 15.5
265, 16.0
266, 30.5
267, 11.5
268, 33.5
269, 31.0
270, 39.5
271, 16.0
272, 11.0
273, 10.5
274, 26.0
275, 15.0
276, 13.0
277, 10.0
278, 10.0
279, 39.0
280, 12.5
281, 8.5
282, 13.5
283, 35.0
284, 7.5
285, 26.5
286, 9.0
287, 46.5
288, 7.5
289, 9.0
290, 27.0
291, 7.5
292, 28.5
293, 40.0
294, 13.0
295, 8.5
296, 29.5
297, 18.0
298, 16.5
299, 35.5
300, 45.0
301, 12.5
302, 41.0
303, 34.0
304, 9.0
305, 14.0
306, 41.5
307, 11.5
308, 16.5
309, 13.0
310, 20.5
311, 14.5
312, 13.0
313, 7.5
314, 38.0
315, 11.0
316, 30.0
317, 17.5
318, 11.0
319, 7.5
320, 15.0
321, 9.0
322, 26.0
323, 11.0
324, 10.0
325, 15.0
326, 11.0
327, 65.5
328, 14.5
329, 12.0
330, 17.0
331, 46.0
332, 16.5
333, 15.0
334, 12.5
335, 11.0
336, 13.0
337, 13.5
338, 12.0
339, 11.5
340, 8.0
341, 10.5
342, 14.5
343, 14.0
344, 11.5
345, 7.5
346, 9.5
347, 12.0
348, 7.5
349, 15.0
350, 21.5
351, 32.0
352, 8.0
353, 13.5
354, 14.5
355, 42.5
356, 23.5
357, 8.0
358, 12.5
359, 16.5
360, 11.5
361, 14.0
362, 10.0
363, 36.5
364, 10.0
365, 9.0
366, 8.5
367, 9.5
368, 8.0
369, 28.5
370, 9.0
371, 11.5
372, 7.0
373, 21.5
374, 8.5
375, 9.5
376, 14.5
377, 23.5
378, 16.5
379, 36.0
380, 20.5
381, 10.5
382, 47.0
383, 9.0
384, 16.0
385, 24.0
386, 17.5
387, 35.5
388, 8.0
389, 46.5
390, 27.5
391, 9.5
392, 7.5
393, 16.5
394, 45.0
395, 45.5
396, 8.0
397, 17.0
398, 9.0
399, 16.5
400, 22.5
401, 7.5
402, 7.5
403, 10.5
404, 11.0
405, 9.0
406, 9.5
407, 14.5
408, 9.0
409, 7.5
410, 8.5
411, 13.5
412, 15.0
413, 14.0
414, 16.0
415, 14.0
416, 10.0
417, 24.5
418, 11.0
419, 14.0
420, 42.0
421, 14.5
422, 34.0
423, 34.0
424, 15.5
425, 9.0
426, 13.5
427, 15.0
428, 7.5
429, 15.5
430, 13.5
431, 7.0
432, 9.0
433, 9.5
434, 35.0
435, 15.5
436, 44.5
437, 11.0
438, 16.5
439, 28.0
440, 26.5
441, 9.0
442, 14.5
443, 14.0
444, 36.0
445, 9.5
446, 10.0
447, 14.0
448, 13.5
449, 9.5
450, 13.5
451, 34.5
452, 16.5
453, 15.5
454, 10.5
455, 13.5
456, 14.0
457, 10.5
458, 30.5
459, 30.0
460, 46.0
461, 16.0
462, 27.0
463, 25.5
464, 29.0
465, 11.5
466, 14.0
467, 17.0
468, 16.0
469, 9.5
470, 16.0
471, 27.5
472, 15.0
473, 21.5
474, 37.5
475, 12.0
476, 37.5
477, 15.5
478, 14.0
479, 16.0
480, 16.5
481, 16.0
482, 27.0
483, 15.0
484, 16.5
485, 11.0
486, 13.0
487, 16.0
488, 15.5
489, 14.0
490, 8.0
491, 11.0
492, 11.0
493, 14.0
494, 12.0
495, 32.0
496, 40.0
497, 8.5
498, 10.5
499, 13.0
500, 16.0
501, 8.0
502, 14.5
503, 13.0
504, 8.5
505, 16.5
506, 33.5
507, 13.0
508, 20.5
509, 23.0
510, 15.5
511, 19.0
512, 7.0
513, 10.0
514, 12.0
515, 10.5
516, 8.0
517, 16.0
518, 13.0
519, 17.0
520, 7.5
521, 34.0
522, 13.5
523, 12.0
524, 39.5
525, 14.5
526, 36.5
527, 14.5
528, 8.0
529, 7.5
530, 10.5
531, 15.0
532, 39.0
533, 15.5
534, 31.5
535, 9.0
536, 11.5
537, 8.0
538, 7.5
539, 8.5
540, 12.5
541, 15.0
542, 31.0
543, 12.0
544, 16.5
545, 8.5
546, 15.5
547, 14.5
548, 16.5
549, 7.0
550, 12.5
551, 11.5
552, 14.5
553, 15.0
554, 46.5
555, 11.0
556, 24.5
557, 14.0
558, 11.0
559, 17.0
560, 10.0
561, 15.5
562, 13.5
563, 13.5
564, 44.5
565, 12.0
566, 16.0
567, 31.0
568, 14.5
569, 17.0
570, 11.0
571, 27.5
572, 22.0
573, 10.5
574, 27.0
575, 14.0
576, 15.5
577, 15.0
578, 46.0
579, 42.0
580, 12.0
581, 13.5
582, 22.0
583, 13.5
584, 30.0
585, 16.0
586, 13.0
587, 9.0
588, 42.5
589, 16.5
590, 13.5
591, 9.5
592, 29.5
593, 13.5
594, 10.0
595, 41.0
596, 54.5
597, 16.5
598, 57.0
599, 10.5
600, 15.0
601, 11.0
602, 13.5
603, 9.0
604, 13.0
605, 41.0
606, 10.0
607, 14.5
608, 42.5
609, 47.0
610, 9.0
611, 22.5
612, 9.0
613, 12.0
614, 8.5
615, 28.5
616, 16.5
617, 14.5
618, 12.0
619, 8.0
620, 13.5
621, 8.0
622, 14.5
623, 12.5
624, 17.0
625, 11.0
626, 9.0
627, 25.5
628, 40.0
629, 16.5
630, 17.0
631, 15.0
632, 15.0
633, 15.5
634, 10.0
635, 23.0
