Time, Mote 1 Rx Signal, Mote 2 Rx Signal
0.002440, 1,0
0.004880, 1,0
0.007320, 1,0
0.009760, 1,0
0.012200, 1,0
0.014640, 1,0
0.017080, 1,0
0.019520, 1,0
0.021960, 1,0
0.024400, 1,0
0.026840, 1,0
0.029280, 1,0
0.031720, 1,0
0.034160, 1,0
0.036600, 1,0
0.039040, 1,0
0.041480, 1,0
0.043920, 1,0
0.046360, 1,0
0.048800, 1,0
0.051240, 1,0
0.053680, 1,0
0.056120, 1,0
0.058560, 1,0
0.061000, 1,0
0.063440, 1,0
0.065880, 1,0
0.068320, 1,0
0.070760, 1,0
0.073200, 1,0
0.075640, 1,0
0.078080, 1,0
0.080520, 1,0
0.082960, 1,0
0.085400, 1,0
0.087840, 1,0
0.090280, 1,0
0.092720, 1,0
0.095160, 1,0
0.097600, 1,0
0.100040, 1,0
0.102480, 1,0
0.104920, 1,0
0.107360, 1,0
0.109800, 1,0
0.112240, 1,0
0.114680, 1,0
0.117120, 1,0
0.119560, 1,0
0.122000, 1,0
0.124440, 1,0
0.126880, 1,0
0.129320, 1,0
0.131760, 1,0
0.134200, 1,0
0.136640, 1,0
0.139080, 1,0
0.141520, 1,0
0.143960, 1,0
0.146400, 1,0
0.148840, 1,0
0.151280, 1,0
0.153720, 1,0
0.156160, 1,0
0.158600, 1,0
0.161040, 1,0
0.163480, 1,0
0.165920, 1,0
0.168360, 1,0
0.170800, 1,0
0.173240, 1,0
0.175680, 1,0
0.178120, 1,0
0.180560, 1,0
0.183000, 1,0
0.185440, 1,0
0.187880, 1,0
0.190320, 1,0
0.192760, 1,0
0.195200, 1,0
0.197640, 1,0
0.200080, 1,0
0.202520, 1,0
0.204960, 1,0
0.207400, 1,0
0.209840, 1,0
0.212280, 1,0
0.214720, 1,0
0.217160, 1,0
0.219600, 1,0
0.222040, 1,0
0.224480, 1,0
0.226920, 1,0
0.229360, 1,0
0.231800, 1,0
0.234240, 1,0
0.236680, 1,0
0.239120, 1,0
0.241560, 1,0
0.244000, 1,0
0.246440, 1,0
0.248880, 1,0
0.251320, 1,0
0.253760, 1,0
0.256200, 1,0
0.258640, 1,0
0.261080, 1,0
0.263520, 1,0
0.265960, 1,0
0.268400, 1,0
0.270840, 1,0
0.273280, 1,0
0.275720, 1,0
0.278160, 1,0
0.280600, 1,0
0.283040, 1,0
0.285480, 1,0
0.287920, 1,0
0.290360, 1,0
0.292800, 1,0
0.295240, 1,0
0.297680, 1,0
0.300120, 1,0
0.302560, 1,0
0.305000, 1,0
0.307440, 1,0
0.309880, 1,0
0.312320, 1,0
0.314760, 1,0
0.317200, 1,0
0.319640, 1,0
0.322080, 1,0
0.324520, 1,0
0.326960, 1,0
0.329400, 1,0
0.331840, 1,0
0.334280, 1,0
0.336720, 1,0
0.339160, 1,0
0.341600, 1,0
0.344040, 1,0
0.346480, 1,0
0.348920, 1,0
0.351360, 1,0
0.353800, 1,0
0.356240, 1,0
0.358680, 1,0
0.361120, 1,0
0.363560, 1,0
0.366000, 1,0
0.368440, 1,0
0.370880, 1,0
0.373320, 1,0
0.375760, 1,0
0.378200, 1,0
0.380640, 1,0
0.383080, 1,0
0.385520, 1,0
0.387960, 1,0
0.390400, 1,0
0.392840, 1,0
0.395280, 1,0
0.397720, 1,0
0.400160, 1,0
0.402600, 1,0
0.405040, 1,0
0.407480, 1,0
0.409920, 1,0
0.412360, 1,0
0.414800, 1,0
0.417240, 1,0
0.419680, 1,0
0.422120, 1,0
0.424560, 1,0
0.427000, 1,0
0.429440, 1,0
0.431880, 1,0
0.434320, 1,0
0.436760, 1,0
0.439200, 1,0
0.441640, 1,0
0.444080, 1,0
0.446520, 1,0
0.448960, 1,0
0.451400, 1,0
0.453840, 1,0
0.456280, 1,0
0.458720, 1,0
0.461160, 1,0
0.463600, 1,0
0.466040, 1,0
0.468480, 1,0
0.470920, 1,0
0.473360, 1,0
0.475800, 1,0
0.478240, 1,0
0.480680, 1,0
0.483120, 1,0
0.485560, 1,0
0.488000, 1,0
0.490440, 1,0
0.492880, 1,0
0.495320, 1,0
0.497760, 1,0
0.500200, 1,0
0.502640, 1,0
0.505080, 1,0
0.507520, 1,0
0.509960, 1,0
0.512400, 1,0
0.514840, 1,0
0.517280, 1,0
0.519720, 1,0
0.522160, 1,0
0.524600, 1,0
0.527040, 1,0
0.529480, 1,0
0.531920, 1,0
0.534360, 1,0
0.536800, 1,0
0.539240, 1,0
0.541680, 1,0
0.544120, 1,0
0.546560, 1,0
0.549000, 1,0
0.551440, 1,0
0.553880, 1,0
0.556320, 1,0
0.558760, 1,0
0.561200, 1,0
0.563640, 1,0
0.566080, 1,0
0.568520, 1,0
0.570960, 1,0
0.573400, 1,0
0.575840, 1,0
0.578280, 1,0
0.580720, 1,0
0.583160, 1,0
0.585600, 1,0
0.588040, 1,0
0.590480, 1,0
0.592920, 1,0
0.595360, 1,0
0.597800, 1,0
0.600240, 1,0
0.602680, 1,0
0.605120, 1,0
0.607560, 1,0
0.610000, 1,0
0.612440, 1,0
0.614880, 1,0
0.617320, 1,0
0.619760, 1,0
0.622200, 1,0
0.624640, 1,0
0.627080, 1,0
0.629520, 1,0
0.631960, 1,0
0.634400, 1,0
0.636840, 1,0
0.639280, 1,0
0.641720, 1,0
0.644160, 1,0
0.646600, 1,0
0.649040, 1,0
0.651480, 1,0
0.653920, 1,0
0.656360, 1,0
0.658800, 1,0
0.661240, 1,0
0.663680, 1,0
0.666120, 1,0
0.668560, 1,0
0.671000, 1,0
0.673440, 1,0
0.675880, 1,0
0.678320, 1,0
0.680760, 1,0
0.683200, 1,0
0.685640, 1,0
0.688080, 1,0
0.690520, 1,0
0.692960, 1,0
0.695400, 1,0
0.697840, 1,0
0.700280, 1,0
0.702720, 1,0
