missed packet number, sample offset, latency (ms), sample
-6023, 38909, 38.909, 1111 1110 0111 1110
-6023, 43348, 43.348, 0000 0000 0000 0000
-6023, 51540, 51.54, 1111 1110 0111 1110
-6023, 55366, 55.366, 0000 0000 0000 0000
-6023, 59462, 59.462, 1111 1110 0111 1110
-6023, 59960, 59.96, 0000 0000 0000 0000
-6023, 76344, 76.344, 1111 1110 0111 1110
-6023, 79310, 79.31, 0000 0000 0000 0000
-6023, 87502, 87.502, 1111 1110 0111 1110
-6023, 94097, 94.097, 0000 0000 0000 0000
-6023, 102289, 102.289, 1111 1110 0111 1110
-6023, 105824, 105.824, 0000 0000 0000 0000
-6023, 109920, 109.92, 1111 1110 0111 1110
-6023, 114122, 114.122, 0000 0000 0000 0000
-6023, 126410, 126.41, 1111 1110 0111 1110
-6023, 128698, 128.698, 0000 0000 0000 0000
-6023, 140986, 140.986, 1111 1110 0111 1110
-6023, 343267, 343.267, 0000 0000 0000 0000
-6023, 347363, 347.363, 1111 1110 0111 1110
-87056, 0, 0.0, 0111 1110 0111 1110
-87056, 1, 0.001, 0000 0001 0000 0001
-87056, 20, 0.02, 0000 0001 1000 0001
-87056, 124, 0.124, 0111 1110 1111 1110
-87056, 521, 0.521, 1111 1110 0111 1110
-87056, 870, 0.87, 0111 1110 1111 1110
-87056, 1638, 1.638, 0111 1110 0111 1110
-87056, 1770, 1.77, 1111 1110 0111 1110
-87056, 1898, 1.898, 0111 1110 1111 1110
-87056, 2683, 2.683, 1111 1110 0111 1110
-87056, 2896, 2.896, 0111 1110 1111 1110
-87056, 3610, 3.61, 0111 1110 0111 1110
-87056, 3924, 3.924, 0111 1110 1111 1110
-87057, 0, 0.0, 0111 1110 1111 1110
-87057, 1, 0.001, 0000 0001 1000 0001
-87057, 20, 0.02, 0000 0001 0000 0001
-87057, 158, 0.158, 0111 1110 0111 1110
-87057, 523, 0.523, 0111 1110 1111 1110
-87057, 855, 0.855, 0111 1110 0111 1110
-87057, 1672, 1.672, 0111 1110 1111 1110
-87057, 1954, 1.954, 0111 1110 0111 1110
-87057, 2800, 2.8, 0111 1110 1111 1110
-87057, 3033, 3.033, 0111 1110 0111 1110
-87057, 3740, 3.74, 0111 1110 1111 1110
-87057, 4097, 4.097, 0000 0001 1000 0001
-87057, 4116, 4.116, 0000 0001 0000 0001
-87057, 4135, 4.135, 0111 1110 0111 1110
-87058, 0, 0.0, 0111 1110 0111 1110
-87058, 1, 0.001, 0000 0001 0000 0001
-87058, 20, 0.02, 0000 0001 1000 0001
-87058, 141, 0.141, 0111 1110 1111 1110
-87058, 477, 0.477, 0111 1110 0111 1110
-87058, 792, 0.792, 0111 1110 1111 1110
-87058, 1711, 1.711, 0111 1110 0111 1110
-87058, 1978, 1.978, 0111 1110 1111 1110
-87058, 2865, 2.865, 0111 1110 0111 1110
-87058, 3074, 3.074, 0111 1110 1111 1110
-87058, 3783, 3.783, 0111 1110 0111 1110
-87058, 4097, 4.097, 0000 0001 0000 0001
-87058, 4116, 4.116, 0000 0001 1000 0001
-87058, 4165, 4.165, 0111 1110 1111 1110
-87059, 0, 0.0, 0111 1110 1111 1110
-87059, 1, 0.001, 0000 0001 1000 0001
-87059, 20, 0.02, 0000 0001 0000 0001
-87059, 109, 0.109, 0111 1110 0111 1110
-87059, 405, 0.405, 0111 1110 1111 1110
-87059, 736, 0.736, 0111 1110 0111 1110
-87059, 1446, 1.446, 0111 1110 1111 1110
-87059, 1723, 1.723, 0111 1110 0111 1110
-87059, 2506, 2.506, 0111 1110 1111 1110
-87059, 2712, 2.712, 0111 1110 0111 1110
-87059, 3455, 3.455, 0111 1110 1111 1110
-87059, 3640, 3.64, 0111 1110 0111 1110
-87059, 516566, 516.566, 0000 0000 0000 0000
-87059, 520662, 520.662, 0111 1110 0111 1110
-87059, 671651, 671.651, 0000 0000 0000 0000
-87059, 675747, 675.747, 0111 1110 0111 1110
-87059, 676485, 676.485, 0000 0000 0000 0000
-87059, 680581, 680.581, 0111 1110 0111 1110
-87059, 682186, 682.186, 0000 0000 0000 0000
-87059, 686282, 686.282, 0111 1110 0111 1110
-87059, 687009, 687.009, 0000 0000 0000 0000
-87059, 691105, 691.105, 0111 1110 0111 1110
-87059, 719878, 719.878, 0000 0000 0000 0000
-87059, 723974, 723.974, 0111 1110 0111 1110
-87059, 732438, 732.438, 0000 0000 0000 0000
-87059, 736534, 736.534, 0111 1110 0111 1110
-87059, 765738, 765.738, 0000 0000 0000 0000
-87059, 769834, 769.834, 0111 1110 0111 1110
-87059, 772407, 772.407, 0000 0000 0000 0000
-87059, 776503, 776.503, 0111 1110 0111 1110
-87059, 784068, 784.068, 0000 0000 0000 0000
-87059, 788164, 788.164, 0111 1110 0111 1110
-87060, 0, 0.0, 0111 1110 0111 1110
-87060, 1, 0.001, 0000 0001 0000 0001
-87060, 20, 0.02, 0000 0001 1000 0001
-87060, 136, 0.136, 0111 1110 1111 1110
-87060, 480, 0.48, 0111 1110 0111 1110
-87060, 840, 0.84, 0111 1110 1111 1110
-87060, 1585, 1.585, 0111 1110 0111 1110
-87060, 1871, 1.871, 0111 1110 1111 1110
-87060, 2748, 2.748, 0111 1110 0111 1110
-87060, 2996, 2.996, 0111 1110 1111 1110
-87060, 3680, 3.68, 0111 1110 0111 1110
-87060, 4073, 4.073, 0111 1110 1111 1110
-87060, 1099003, 1099.003, 0000 0000 0000 0000
-87060, 1103099, 1103.099, 0111 1110 1111 1110
-87061, 0, 0.0, 0111 1110 1111 1110
-87061, 1, 0.001, 0000 0001 1000 0001
-87061, 20, 0.02, 0000 0001 0000 0001
-87061, 136, 0.136, 0111 1110 0111 1110
-87061, 1005, 1.005, 0111 1110 1111 1110
-87061, 1329, 1.329, 0111 1110 0111 1110
-87061, 2192, 2.192, 0111 1110 1111 1110
-87061, 2436, 2.436, 0111 1110 0111 1110
-87061, 3498, 3.498, 0111 1110 1111 1110
-87061, 3715, 3.715, 0111 1110 0111 1110
-87061, 397116, 397.116, 0000 0000 0000 0000
-87061, 401212, 401.212, 0111 1110 0111 1110
-87062, 0, 0.0, 0111 1110 0111 1110
-87062, 1, 0.001, 0000 0001 0000 0001
-87062, 19, 0.019, 0000 0001 1000 0001
-87062, 122, 0.122, 0111 1110 1111 1110
-87062, 452, 0.452, 0111 1110 0111 1110
-87062, 776, 0.776, 0111 1110 1111 1110
-87062, 1592, 1.592, 0111 1110 0111 1110
-87062, 1862, 1.862, 0111 1110 1111 1110
-87062, 2732, 2.732, 0111 1110 0111 1110
-87062, 2965, 2.965, 0111 1110 1111 1110
-87062, 3701, 3.701, 0111 1110 0111 1110
-87062, 4080, 4.08, 0111 1110 1111 1110
-87062, 1299366, 1299.366, 0000 0000 0000 0000
-87062, 1303462, 1303.462, 0111 1110 1111 1110
-87062, 1446872, 1446.872, 0000 0000 0000 0000
-87062, 1450968, 1450.968, 0111 1110 1111 1110
-87063, 0, 0.0, 0111 1110 1111 1110
-87063, 1, 0.001, 0000 0001 1000 0001
-87063, 20, 0.02, 0000 0001 0000 0001
-87063, 158, 0.158, 0111 1110 0111 1110
-87063, 526, 0.526, 0111 1110 1111 1110
-87063, 1788, 1.788, 0111 1110 0111 1110
-87063, 2695, 2.695, 0111 1110 1111 1110
-87063, 2911, 2.911, 0111 1110 0111 1110
-87063, 3627, 3.627, 0111 1110 1111 1110
-87063, 3981, 3.981, 0111 1110 0111 1110
-87064, 0, 0.0, 0111 1110 0111 1110
-87064, 1, 0.001, 0000 0001 0000 0001
-87064, 20, 0.02, 0000 0001 1000 0001
-87064, 127, 0.127, 0111 1110 1111 1110
-87064, 421, 0.421, 0111 1110 0111 1110
-87064, 755, 0.755, 0111 1110 1111 1110
-87064, 1470, 1.47, 0111 1110 0111 1110
-87064, 1721, 1.721, 0111 1110 1111 1110
-87064, 2430, 2.43, 0111 1110 0111 1110
-87064, 2644, 2.644, 0111 1110 1111 1110
-87064, 3430, 3.43, 0111 1110 0111 1110
-87064, 3610, 3.61, 0111 1110 1111 1110
-87065, 0, 0.0, 0111 1110 1111 1110
-87065, 1, 0.001, 0000 0001 1000 0001
-87065, 20, 0.02, 0000 0001 0000 0001
-87065, 127, 0.127, 0111 1110 0111 1110
