Packet, Sample offset, Latency (ms), [packet_received_bit][packet_created_bit][button_press_mirror_bit]
184, 40915, 40.915, 1111 1110 0111 1110 
184, 41954, 41.954, 0111 1110 0111 1110 
184, 44091, 44.091, 1111 1110 0111 1110 
184, 44777, 44.777, 0000 0000 0000 0000 
185, 0, 0.0, 1111 1110 0111 1110 
185, 1, 0.001, 1000 0001 0000 0001 
185, 20, 0.02, 1000 0001 1000 0001 
185, 141, 0.141, 1111 1110 1111 1110 
185, 610, 0.61, 1111 1110 0111 1110 
185, 1021, 1.021, 0000 0000 0000 0000 
185, 5117, 5.117, 1111 1110 1111 1110 
185, 9921, 9.921, 0000 0000 0000 0000 
185, 18113, 18.113, 1111 1110 1111 1110 
185, 40638, 40.638, 0000 0000 0000 0000 
185, 57022, 57.022, 1111 1110 1111 1110 
185, 60670, 60.67, 0000 0000 0000 0000 
186, 0, 0.0, 0111 1110 1111 1110 
186, 1, 0.001, 0000 0001 1000 0001 
186, 20, 0.02, 0000 0001 0000 0001 
186, 1393, 1.393, 0111 1110 0111 1110 
186, 1950, 1.95, 0111 1110 1111 1110 
186, 2369, 2.369, 0111 1110 0111 1110 
186, 3396, 3.396, 0111 1110 1111 1110 
186, 3647, 3.647, 0111 1110 0111 1110 
186, 4664, 4.664, 0000 0001 0000 0001 
186, 5037, 5.037, 0111 1110 0111 1110 
186, 29899, 29.899, 0000 0000 0000 0000 
186, 38091, 38.091, 0111 1110 0111 1110 
186, 38314, 38.314, 0000 0000 0000 0000 
187, 0, 0.0, 1111 1110 0111 1110 
187, 1, 0.001, 1000 0001 0000 0001 
187, 19, 0.019, 1000 0001 1000 0001 
187, 155, 0.155, 1111 1110 1111 1110 
187, 555, 0.555, 1111 1110 0111 1110 
187, 918, 0.918, 0000 0000 0000 0000 
187, 13206, 13.206, 1111 1110 1111 1110 
187, 13484, 13.484, 0000 0000 0000 0000 
188, 0, 0.0, 0111 1110 1111 1110 
188, 1, 0.001, 0000 0001 1000 0001 
188, 20, 0.02, 0000 0001 0000 0001 
188, 216, 0.216, 0111 1110 0111 1110 
188, 605, 0.605, 0111 1110 1111 1110 
188, 970, 0.97, 0111 1110 0111 1110 
188, 2554, 2.554, 1111 1110 1111 1110 
188, 2974, 2.974, 0111 1110 0111 1110 
188, 4119, 4.119, 0111 1110 0000 0001 
188, 4120, 4.12, 0000 0001 0000 0001 
188, 4312, 4.312, 0111 1110 0111 1110 
188, 17287, 17.287, 0000 0000 0000 0000 
188, 21383, 21.383, 0111 1110 0111 1110 
188, 22476, 22.476, 0000 0000 0000 0000 
188, 26572, 26.572, 0111 1110 0111 1110 
188, 26661, 26.661, 0000 0000 0000 0000 
189, 0, 0.0, 1000 0001 1000 0001 
189, 161, 0.161, 1111 1110 1111 1110 
189, 1622, 1.622, 1000 0001 1000 0001 
189, 4096, 4.096, 0000 0000 0000 0000 
