Packet, Sample offset, Latency (ms), Sample
-1, 0, 0.0, 1111 1110 1111 1110 
-1, 1, 0.001, 1000 0001 1000 0001 
-1, 21, 0.021, 1000 0001 0000 0001 
-1, 75, 0.075, 1111 1110 0111 1110 
-1, 3479, 3.479, 1111 1110 1111 1110 
-1, 3779, 3.779, 1111 1110 0111 1110 
-2, 0, 0.0, 1000 0001 0000 0001 
-2, 20, 0.02, 1000 0001 1000 0001 
-2, 71, 0.071, 1111 1110 1111 1110 
-2, 305, 0.305, 1111 1110 0111 1110 
-2, 679, 0.679, 1111 1110 1111 1110 
-2, 1359, 1.359, 1111 1110 0111 1110 
-2, 1644, 1.644, 1111 1110 1111 1110 
-2, 2282, 2.282, 1111 1110 0111 1110 
-2, 2502, 2.502, 1111 1110 1111 1110 
-2, 3186, 3.186, 1111 1110 0111 1110 
-2, 3358, 3.358, 1111 1110 1111 1110 
-2, 3874, 3.874, 1111 1110 0111 1110 
-2, 4096, 4.096, 1000 0001 0000 0001 
-2, 4116, 4.116, 1000 0001 1000 0001 
-2, 4167, 4.167, 1111 1110 1111 1110 
-3, 0, 0.0, 1111 1110 1111 1110 
-3, 1, 0.001, 1000 0001 1000 0001 
-3, 21, 0.021, 1000 0001 0000 0001 
-3, 69, 0.069, 1111 1110 0111 1110 
-3, 307, 0.307, 1111 1110 1111 1110 
-3, 677, 0.677, 1111 1110 0111 1110 
-3, 1405, 1.405, 1111 1110 1111 1110 
-3, 1691, 1.691, 1111 1110 0111 1110 
-3, 2401, 2.401, 1111 1110 1111 1110 
-3, 2631, 2.631, 1111 1110 0111 1110 
-3, 3414, 3.414, 1111 1110 1111 1110 
-3, 3603, 3.603, 1111 1110 0111 1110 
-4, 0, 0.0, 1111 1110 0111 1110 
-4, 1, 0.001, 1000 0001 0000 0001 
-4, 21, 0.021, 1000 0001 1000 0001 
-4, 105, 0.105, 1111 1110 1111 1110 
-4, 361, 0.361, 1111 1110 0111 1110 
-4, 683, 0.683, 1111 1110 1111 1110 
-4, 1302, 1.302, 1111 1110 0111 1110 
-4, 1569, 1.569, 1111 1110 1111 1110 
-4, 2263, 2.263, 1111 1110 0111 1110 
-4, 2496, 2.496, 1111 1110 1111 1110 
-4, 3182, 3.182, 1111 1110 0111 1110 
-4, 3350, 3.35, 1111 1110 1111 1110 
-4, 3882, 3.882, 1111 1110 0111 1110 
-4, 4097, 4.097, 1000 0001 0000 0001 
-4, 4117, 4.117, 1000 0001 1000 0001 
-4, 4201, 4.201, 1111 1110 1111 1110 
